iter	RMSE
0	277819923.9
1	275828123.7
2	274175678.4
3	272653281.5
4	271002226.1
5	269850113.7
6	268059047.4
7	266025651.1
8	264424752.2
9	262577255.2
10	261027770.3
11	259380915.4
12	257433109.4
13	255704577.3
14	254133089.8
15	252406969.7
16	250734158.6
17	249446298
18	248318495.9
19	246575413.1
20	244618484.7
21	243090826
22	241308298.6
23	239425083
24	237963721.7
25	236317931.4
26	234592344.9
27	233140331.7
28	231468034.8
29	230034112.7
30	228751844.9
31	227159351.2
32	225893471.5
33	224390801.9
34	223151143.2
35	221335687.9
36	219844249.8
37	218259407.1
38	216922455
39	215547618.4
40	214321782.4
41	213189227.6
42	211982012.3
43	210582197.5
44	209126097.6
45	207625695.8
46	206212535.6
47	205085996.3
48	203835712.4
49	202591549.2
50	201187168.6
51	199845603.5
52	198572806.4
53	196998272.5
54	195852050.3
55	194566536.7
56	193503474.2
57	192172969.4
58	191073934.4
59	189763430.7
60	188676406.6
61	187618474.5
62	186367252.2
63	185000765.6
64	183997840.7
65	182813126.3
66	181624406.1
67	180418513.2
68	179277287.9
69	178172915.6
70	177148009.6
71	175811355.1
72	174836637.6
73	173750964.9
74	172480576.9
75	171526415.2
76	170599965.2
77	169524743
78	168347711.5
79	167374877.1
80	166399038.5
81	165480282.2
82	164432734.7
83	163409467
84	162385475
85	161502646.7
86	160509852.7
87	159414604.9
88	158270415.3
89	157264814.4
90	156261646.1
91	155167812
92	154249943.2
93	153437469.2
94	152599944.3
95	151517299.1
96	150766568.1
97	149750776.8
98	148978952
99	148362694
100	147682660.9
101	146789015.2
102	145665457.3
103	144789125.8
104	143956024.9
105	143169625.4
106	142295777
107	141204667.6
108	140374046.6
109	139291970.3
110	138343217.7
111	137696004.8
112	136893335
113	135922233.7
114	135242299.6
115	134158455.7
116	133297996.4
117	132534002.3
118	131700103.8
119	130956586.8
120	130201650.7
121	129464370.6
122	128597711.3
123	127763792
124	126965764.3
125	126187533.5
126	125402609
127	124554381
128	123841107
129	123093229.7
130	122266974.3
131	121549589.6
132	120763702.2
133	119968601.7
134	119191631.1
135	118423759
136	117564337.3
137	117044743.8
138	116491866.7
139	115781656.2
140	115057594.2
141	114485889.2
142	113828148.1
143	113074595
144	112622255.9
145	111993558.5
146	111390697.1
147	110729249
148	110222981.3
149	109576754
150	108951192.7
151	108254324.3
152	107663199.7
153	106800451.4
154	106223405.5
155	105643435.5
156	105143737.7
157	104531385.5
158	103846106.1
159	103145058.1
160	102591202.2
161	102055241.7
162	101482057.8
163	100928160.1
164	100456777
165	99653095.6
166	99155096.87
167	98600420.7
168	97876382.02
169	97432717.31
170	96942779.55
171	96312683.7
172	95752084.4
173	95288056.83
174	94723434.05
175	94161285.9
176	93792003.32
177	93284015.3
178	92847904.71
179	92257438.23
180	91553100.87
181	91168204.76
182	90593499.59
183	90112941.16
184	89542285.11
185	89092294.72
186	88726882.6
187	88154798.3
188	87565369.82
189	87116114.06
190	86628811.59
191	86235382.42
192	85757841.69
193	85144062.58
194	84779320.71
195	84187571.77
196	83733158.55
197	83156812.27
198	82652936.19
199	82229085.97
200	81771367.17
201	81281829.29
202	80796532.02
203	80324263.6
204	79933179.25
205	79426320.74
206	79086840.31
207	78646254.91
208	78362838.64
209	78023324.68
210	77438258.37
211	76994729.4
212	76548655.87
213	76173488.33
214	75613581.1
215	75205213.39
216	74843256.05
217	74459624.34
218	74071253.44
219	73701981.86
220	73288892.72
221	72976315.96
222	72576412.44
223	72261727.36
224	71970876.46
225	71579224.84
226	71239559.64
227	70874374.3
228	70556290.58
229	70206234.71
230	69906969.41
231	69525085.65
232	69064127.3
233	68746376.34
234	68362695.89
235	68103247.52
236	67748431.13
237	67322949.64
238	66945872.99
239	66575416.78
240	66150572.67
241	65863751.51
242	65484575.72
243	65143305.04
244	64800673.38
245	64478686.3
246	64178441.95
247	63864290.84
248	63636514.1
249	63344395.7
250	63022745.72
251	62594623.58
252	62234207.69
253	61861733.24
254	61497341.12
255	61209585.34
256	60860413.32
257	60605020.9
258	60344932.44
259	60041860.25
260	59746766.03
261	59406157.76
262	59084640.61
263	58732062.93
264	58400494.46
265	58122862.93
266	57845208.83
267	57640855.74
268	57306281.65
269	57008781.01
270	56798747.73
271	56544416.38
272	56309950.08
273	56048718.5
274	55776120.94
275	55466262.53
276	55224286.8
277	54961580.91
278	54653687.08
279	54394676.5
280	54140775.76
281	53837518.5
282	53627799.5
283	53366246.62
284	53137299.82
285	52937063.42
286	52695825.25
287	52458868.65
288	52185452.96
289	51996633.25
290	51766712.18
291	51609992.33
292	51412195.77
293	51204510.24
294	50950137.45
295	50732983.95
296	50506155.82
297	50232231.41
298	49954928.98
299	49681852.59
