iter	MAE
0	27824853.46
1	27810734.9
2	27794164.89
3	27782797.09
4	27769792.5
5	27754963.5
6	27742655.74
7	27733157.77
8	27723348.08
9	27714226.53
10	27705581.23
11	27693016.17
12	27682309.82
13	27672960.45
14	27665383.92
15	27660240.52
16	27650260.09
17	27640239.76
18	27626810.94
19	27615596.8
20	27602953.87
21	27597389.75
22	27591984.97
23	27579677.42
24	27570813.37
25	27555308.16
26	27543685.3
27	27533281.58
28	27523659.87
29	27514595.83
30	27508510.36
31	27500041.37
32	27489253.85
33	27482848.48
34	27476655.96
35	27463159.82
36	27455570.41
37	27441286.42
38	27435331.53
39	27429513.31
40	27419826.35
41	27406941.4
42	27399032.19
43	27381639.72
44	27367741.16
45	27362335.17
46	27351440.65
47	27343547.32
48	27338329.32
49	27322856.54
50	27317906.71
51	27312060.41
52	27305838.2
53	27297443.91
54	27288925.32
55	27285110.5
56	27280286.43
57	27271984.29
58	27263527.64
59	27261537.71
60	27249435.53
61	27231264.28
62	27222807.49
63	27206993.64
64	27198054.43
65	27180952.29
66	27175707.06
67	27163268.04
68	27159143.2
69	27150021.27
70	27145844.94
71	27138407.07
72	27131984.84
73	27119873.39
74	27112207.78
75	27105058.63
76	27097206.17
77	27085412.62
78	27078889.8
79	27073996.68
80	27066060.1
81	27057611.89
82	27048836.53
83	27038854.89
84	27036822.08
85	27031303.9
86	27025531.16
87	27013574.75
88	27006102.62
89	26994135.92
90	26985671.08
91	26978119.43
92	26973291.81
93	26965978.48
94	26958230.65
95	26948789.35
96	26945540.66
97	26937598.76
98	26934247.59
99	26924937.2
100	26916177.98
101	26908839.56
102	26899676.1
103	26894406.03
104	26885064.04
105	26877431.07
106	26868500.92
107	26859845.85
108	26842649.32
109	26828725.2
110	26822394.9
111	26816765.3
112	26809956.47
113	26801237.11
114	26790983.69
115	26784205.76
116	26776282.16
117	26764898.14
118	26757125.62
119	26752819.53
120	26742667.48
121	26735733.8
122	26725258.71
123	26719762.52
124	26712745.06
125	26707112.45
126	26704225.2
127	26693992.99
128	26687724.06
129	26687515.82
130	26680081.33
131	26676108.84
132	26669934.41
133	26663832.39
134	26656929.06
135	26650335.48
136	26645132.96
137	26642456.3
138	26637691.82
139	26629641.79
140	26623259.06
141	26611452.68
142	26601230.64
143	26590570.17
144	26588296.33
145	26579438.73
146	26573082.34
147	26571271.33
148	26563967.5
149	26546048.72
150	26541151.79
151	26537065.79
152	26534222.46
153	26530085.39
154	26518201.79
155	26512481.18
156	26506387.04
157	26498611.82
158	26491941.98
159	26487700.7
160	26478776.56
161	26473507.06
162	26464114.1
163	26460476.54
164	26455385
165	26447983.56
166	26442047.88
167	26438644.31
168	26432336.04
169	26423666.74
170	26418427.43
171	26412930.23
