iter	Passed	Remaining
0	34	34478
1	73	36429
2	117	38948
3	162	40375
4	202	40282
5	241	40038
6	289	41130
7	343	42650
8	389	42932
9	430	42666
10	467	42060
11	508	41881
12	567	43114
13	616	43435
14	650	42736
15	682	41983
16	717	41515
17	757	41349
18	799	41298
19	852	41759
20	895	41742
21	939	41774
22	992	42172
23	1042	42401
24	1085	42321
25	1128	42277
26	1172	42237
27	1224	42492
28	1267	42436
29	1324	42813
30	1378	43104
31	1419	42948
32	1460	42800
33	1504	42751
34	1555	42890
35	1612	43174
36	1666	43383
37	1718	43512
38	1758	43331
39	1796	43110
40	1836	42949
41	1872	42715
42	1911	42546
43	1953	42435
44	1987	42188
45	2023	41966
46	2060	41785
47	2102	41695
48	2143	41608
49	2191	41629
50	2236	41621
51	2275	41490
52	2317	41409
53	2357	41297
54	2398	41204
55	2447	41261
56	2489	41192
57	2538	41226
58	2595	41402
59	2658	41656
60	2714	41779
61	2755	41686
62	2785	41421
63	2821	41262
64	2859	41128
65	2906	41133
66	2940	40941
67	2975	40780
68	3015	40687
69	3058	40629
70	3101	40577
71	3150	40601
72	3201	40657
73	3253	40709
74	3290	40577
75	3322	40399
76	3360	40286
77	3400	40197
78	3448	40202
79	3497	40217
80	3550	40288
81	3595	40249
82	3640	40224
83	3686	40200
84	3727	40127
85	3766	40031
86	3811	39999
87	3851	39915
88	3890	39821
89	3937	39813
90	3985	39806
91	4024	39721
92	4064	39641
93	4112	39641
94	4155	39589
95	4192	39476
96	4228	39366
97	4261	39224
98	4306	39197
99	4362	39258
100	4406	39225
101	4445	39138
102	4487	39083
103	4539	39106
104	4595	39173
105	4653	39243
106	4706	39283
107	4760	39316
108	4809	39313
109	4836	39132
110	4886	39138
111	4941	39179
112	5001	39258
113	5062	39349
114	5091	39184
115	5129	39092
116	5175	39062
117	5220	39022
118	5266	38987
119	5322	39033
120	5369	39009
121	5421	39020
122	5458	38919
123	5497	38834
124	5553	38874
125	5606	38889
126	5651	38845
127	5694	38792
128	5753	38850
129	5801	38822
130	5841	38749
131	5880	38671
132	5914	38552
133	5949	38447
134	5982	38329
135	6015	38214
136	6047	38097
137	6081	37985
138	6113	37871
139	6146	37756
140	6179	37644
141	6212	37540
142	6245	37431
143	6289	37385
144	6334	37351
145	6374	37288
146	6429	37308
147	6470	37247
148	6510	37183
149	6560	37176
150	6602	37120
151	6642	37058
152	6657	36855
153	6695	36779
154	6735	36718
155	6786	36714
156	6832	36688
157	6870	36613
158	6925	36629
159	6973	36608
160	7023	36602
161	7066	36555
162	7106	36490
163	7151	36457
164	7171	36290
165	7221	36282
166	7285	36342
167	7334	36321
168	7385	36318
169	7438	36318
170	7484	36283
171	7492	36069
172	7532	36007
173	7584	36005
174	7625	35950
175	7666	35893
176	7717	35884
177	7766	35865
178	7803	35792
179	7843	35732
180	7883	35670
181	7925	35620
182	7969	35579
183	8007	35511
184	8046	35446
185	8084	35381
186	8121	35310
187	8173	35300
188	8234	35332
189	8282	35311
190	8339	35324
191	8395	35331
192	8438	35283
193	8493	35286
194	8551	35303
195	8601	35283
196	8656	35286
197	8705	35262
198	8761	35267
199	8808	35235
200	8850	35182
201	8900	35161
202	8955	35161
203	8995	35101
204	9047	35086
205	9096	35063
206	9143	35028
207	9186	34978
208	9238	34963
209	9284	34928
210	9334	34904
211	9371	34835
