iter	Passed	Remaining
0	45	13524
1	109	16305
2	165	16379
3	225	16660
4	292	17270
5	372	18250
6	439	18378
7	476	17389
8	551	17826
9	638	18528
10	697	18325
11	755	18137
12	817	18053
13	874	17873
14	926	17611
15	995	17677
16	1056	17590
17	1122	17587
18	1187	17559
19	1238	17344
20	1286	17086
21	1343	16980
22	1446	17425
23	1536	17669
24	1579	17377
25	1621	17092
26	1666	16846
27	1705	16567
28	1748	16342
29	1792	16134
30	1837	15945
31	1882	15768
32	1929	15607
33	1966	15386
34	2013	15247
35	2031	14899
36	2074	14743
37	2122	14631
38	2166	14497
39	2210	14369
40	2256	14256
41	2302	14142
42	2347	14031
43	2395	13939
44	2444	13850
45	2489	13748
46	2531	13627
47	2575	13521
48	2624	13442
49	2683	13419
50	2742	13387
51	2796	13336
52	2844	13258
53	2872	13086
54	2940	13097
55	2995	13052
56	3066	13074
57	3136	13085
58	3204	13091
59	3274	13096
60	3346	13113
61	3402	13059
62	3467	13046
63	3529	13014
64	3585	12963
65	3646	12927
66	3701	12871
67	3773	12875
68	3856	12911
69	3933	12925
70	4006	12922
71	4094	12965
72	4159	12934
73	4214	12872
74	4276	12828
75	4339	12789
76	4408	12767
77	4462	12701
78	4493	12569
79	4543	12494
80	4605	12450
81	4658	12385
82	4719	12338
83	4781	12294
84	4852	12273
85	4927	12260
86	5005	12254
87	5091	12265
88	5169	12256
89	5216	12171
90	5289	12148
91	5366	12132
92	5445	12120
93	5530	12119
94	5601	12086
95	5658	12024
96	5732	11997
97	5794	11943
98	5847	11871
99	5902	11805
100	5966	11755
101	6032	11710
102	6101	11669
103	6160	11609
104	6228	11567
105	6304	11538
106	6369	11489
107	6407	11391
108	6460	11320
109	6501	11230
110	6574	11194
111	6651	11164
112	6737	11150
113	6780	11062
114	6850	11020
115	6895	10937
116	6952	10874
117	7027	10838
118	7086	10779
119	7139	10708
120	7198	10649
121	7253	10583
122	7309	10518
123	7374	10467
124	7446	10425
125	7507	10367
126	7586	10334
127	7669	10306
128	7748	10271
129	7808	10210
130	7863	10144
131	7922	10082
132	7981	10022
133	8047	9969
134	8117	9921
135	8183	9868
136	8255	9822
137	8345	9797
138	8432	9766
139	8513	9729
140	8584	9679
141	8636	9609
142	8683	9533
143	8729	9457
144	8782	9388
145	8838	9322
146	8916	9280
147	8991	9234
148	9057	9178
149	9133	9133
150	9202	9080
151	9269	9025
152	9339	8973
153	9364	8878
154	9440	8831
155	9514	8782
156	9584	8729
157	9666	8687
158	9739	8636
159	9810	8583
160	9860	8512
161	9922	8452
162	9997	8402
163	10063	8345
164	10132	8289
165	10159	8200
166	10206	8128
167	10253	8056
168	10305	7988
169	10358	7921
170	10413	7855
171	10477	7797
172	10535	7734
173	10588	7667
174	10643	7602
175	10710	7546
176	10790	7498
177	10858	7442
178	10915	7378
179	10972	7315
180	10997	7230
181	11048	7163
182	11095	7094
183	11180	7048
184	11244	6989
185	11303	6927
186	11372	6872
187	11442	6816
188	11516	6763
189	11588	6708
190	11644	6645
191	11710	6586
192	11764	6522
193	11818	6457
194	11870	6391
195	11906	6317
196	11959	6252
197	11990	6176
198	12060	6121
199	12129	6064
200	12201	6009
201	12259	5947
202	12340	5896
203	12408	5839
204	12489	5787
205	12550	5726
206	12623	5671
207	12683	5609
208	12743	5548
209	12812	5491
210	12844	5417
211	12907	5358
212	12990	5306
213	13065	5250
214	13103	5180
215	13153	5115
216	13222	5057
217	13299	5002
218	13379	4948
219	13455	4892
220	13519	4832
221	13586	4773
222	13672	4720
223	13760	4668
224	13835	4611
225	13916	4556
226	14005	4503
227	14059	4439
228	14125	4379
229	14192	4319
230	14272	4263
231	14353	4207
232	14418	4145
233	14474	4082
234	14532	4019
235	14605	3960
236	14666	3898
237	14721	3835
238	14775	3771
239	14830	3707
240	14902	3648
241	14958	3585
242	15022	3523
243	15079	3460
244	15132	3397
245	15188	3334
246	15256	3273
247	15327	3213
248	15381	3150
249	15436	3087
250	15493	3024
251	15515	2955
252	15565	2891
253	15620	2828
254	15689	2768
255	15756	2708
256	15810	2645
257	15865	2582
258	15922	2520
259	16001	2461
260	16086	2403
261	16164	2344
262	16225	2282
263	16282	2220
264	16350	2159
265	16407	2097
266	16468	2035
267	16529	1973
268	16595	1912
269	16651	1850
270	16707	1787
271	16763	1725
272	16820	1663
273	16887	1602
274	16955	1541
275	17026	1480
276	17095	1419
277	17158	1357
278	17226	1296
279	17302	1235
280	17381	1175
281	17453	1114
282	17532	1053
283	17599	991
284	17660	929
285	17738	868
286	17814	806
287	17885	745
288	17957	683
289	18018	621
290	18073	558
291	18134	496
292	18190	434
293	18259	372
294	18318	310
295	18377	248
296	18441	186
297	18511	124
298	18582	62
299	18651	0
