iter	RMSE
0	277537633.7
1	276004982.3
2	274469548.4
3	272607272.1
4	271160657.6
5	269270724.2
6	267263610.9
7	265278637.5
8	263425817.5
9	261731420.7
10	259975145
11	258212946.8
12	256393125.5
13	254715096.3
14	253235622.4
15	251430265.4
16	249932421.9
17	248577277.8
18	247029723
19	245287641.9
20	243601683.3
21	242109441.5
22	240393560
23	239086852.2
24	237579578.6
25	236062797.2
26	234549671.8
27	233370762.6
28	231498536.1
29	230172065.9
30	228333762
31	227003601.1
32	225286016.3
33	223944456
34	222383730.1
35	220844352.4
36	219470142.8
37	217670251.3
38	216353048.9
39	214832136.3
40	213111872.6
41	211835663
42	210339101
43	208898818.2
44	207553444.6
45	206462924.4
46	205246195
47	204040831.2
48	202825776.1
49	201845890.5
50	200247927.9
51	198666911.4
52	197363688.9
53	196084138.5
54	195145323.9
55	193786506.6
56	192366106.6
57	190870384.5
58	189760818.8
59	188531469.9
60	187209251.5
61	186099714.2
62	184813691.7
63	183764425.2
64	182735091.8
65	181613019.1
66	180443391.1
67	179205298.6
68	178100886.7
69	176865953.7
70	175875149.7
71	174938108.4
72	173748027.1
73	172595068
74	171652042.3
75	170652456.4
76	169921921.9
77	168720812.1
78	167324570.8
79	166286506.2
80	165374843.1
81	164527428.2
82	163582018.9
83	162748225.3
84	161642362.3
85	160400437.6
86	159399676.1
87	158413581.9
88	157186933.3
89	156248051.6
90	155179874.2
91	154119397.3
92	153182329.9
93	152506906.4
94	151554433.9
95	150538361.6
96	149695244
97	148876532.5
98	148082173.5
99	147373731.3
100	146523270.5
101	145874954.3
102	145158032.3
103	144199200.7
104	143469054
105	142447737.6
106	141493509.3
107	140482484.6
108	139467720
109	138533997.2
110	137492131.7
111	136549597
112	135866003.6
113	134966980.6
114	134260731.6
115	133584022.5
116	132587943.5
117	132013823.1
118	131358847.6
119	130836634.7
120	130270315.1
121	129654686.8
122	128919732
123	128176958
124	127447850.1
125	126593258.7
126	125791192.7
127	125074005.4
128	124473010.8
129	123659064.8
130	122955419.6
131	122218050.7
132	121592224.3
133	120964920.7
134	120325724.1
135	119666760.7
136	119041842.1
137	118419198.8
138	117792534.3
139	117089389.5
140	116394438.3
141	115570129.1
142	114865299.6
143	114199559.4
144	113541388.6
145	113071573.1
146	112386837.6
147	111676565.8
148	111077827.5
149	110567659.7
150	109813560.5
151	109107395.3
152	108496167.2
153	107942362.1
154	107390409.4
155	106915364.2
156	106224412.4
157	105500861.2
158	104849888.1
159	104096870.9
160	103398766.9
161	102826325.8
162	102140592.7
163	101544192.2
164	101092933.8
165	100623613.7
166	99997765.54
167	99494543.6
168	98918364.5
169	98404957.05
170	97781944.37
171	97240348.19
172	96560587.85
173	95925996.76
174	95435925.46
175	94926757.37
176	94358052.87
177	93930607.79
178	93350740
179	92778066.69
180	92436651.54
181	91851013.45
182	91425347.67
183	90773663.9
184	90438479.62
185	89957305.53
186	89547186.24
187	88987388.49
188	88342288.1
189	87930678.76
190	87384140.7
191	86959904.9
192	86525819.05
193	86034067.19
194	85694020.42
195	85223771.27
196	84726633.59
197	84303681.91
198	83787774.75
199	83389929.4
200	82971455.03
201	82619028.23
202	82175756.09
203	81707964.86
204	81274456.18
205	80817950.07
206	80244174.35
207	79906325.03
208	79537146.28
209	79094512.9
210	78576271.3
211	78091861.73
212	77643555.2
213	77261188.64
214	76756171.5
215	76292390.71
216	75853208.72
217	75334789.46
218	74968005.37
219	74582449.97
220	74173887.09
221	73757041.69
222	73403890.92
223	72994826.81
224	72507328.95
225	72012168.42
226	71629968.21
227	71233488.43
228	70851758.66
229	70531661.35
230	70207277.83
231	69939800.75
232	69553147.35
233	69084210.33
234	68624382.37
235	68320417.17
236	68046572.85
237	67584591.23
238	67219218.25
239	66902532.37
240	66463320.18
241	66130934.44
242	65756196.81
243	65445887.08
244	65110709.48
245	64889898.63
246	64551566.39
247	64177656.55
248	63835229.96
249	63565293.17
250	63253936.77
251	62919151.58
252	62690103.23
253	62367679.67
254	62045427.12
255	61754600.14
256	61366288.58
257	60939036.08
258	60638250.07
259	60359473.56
260	60108443.56
261	59792886.85
262	59583423.57
263	59353238.53
264	59029436.4
265	58787484.38
266	58593772.48
267	58301305.3
268	58001088.33
269	57641365.2
270	57369022.07
271	57110476.42
272	56842801.18
273	56507278.35
274	56251138.53
275	55894764.36
276	55668194.69
277	55342565.17
278	55122997.39
279	54914542.69
280	54650732.84
281	54420050.39
282	54187426.46
283	53966672.48
284	53689705.21
285	53530671.46
286	53345625.03
287	53101369.79
288	52780468.72
289	52579522.73
290	52363598.49
291	52094758.69
292	51757504.34
293	51458953.57
294	51213936.65
295	51040508.09
296	50848935.42
297	50677760.16
298	50422440.05
299	50122856.23
