iter	MAE
0	33833898.07
1	33816636.67
2	33805989.85
3	33771394.44
4	33755219.39
5	33731110.67
6	33708702.92
7	33698102.87
8	33686346.68
9	33667601.35
10	33654030.26
11	33641826.12
12	33617059.68
13	33602366.24
14	33585956.42
15	33572892.99
16	33544162.31
17	33521651.02
18	33503202.9
19	33474642.84
20	33454338.09
21	33435157.82
22	33415264.2
23	33396521.54
24	33373340.69
25	33361763.92
26	33342862.01
27	33330925.13
28	33316725.24
29	33304737.15
30	33291118.63
31	33280387.86
32	33267844.05
33	33248244.12
34	33228505.47
35	33207262.99
36	33198657.14
37	33157258.16
38	33147604.47
39	33121983.8
40	33108835.09
41	33085200.35
42	33068930.74
43	33055163.93
44	33040193.68
45	33018820.07
46	33004260.42
47	32994633.62
48	32987357.58
49	32953983.84
50	32932555.31
51	32914383.7
52	32904543.51
53	32895425.1
54	32886880.2
55	32875733.02
56	32863641.63
57	32853248.7
58	32839548.76
59	32824440.63
60	32796723.8
61	32790019.07
62	32767747.1
63	32767194.71
64	32748052.22
65	32731473.24
66	32717267.36
67	32700805.89
68	32700646.58
69	32697697.51
70	32689051.52
71	32680143.31
72	32667496.57
73	32661441.5
74	32638913.12
75	32625044.03
76	32613490.03
77	32597028
78	32583389.86
79	32583163.69
80	32568902.83
81	32554995.49
82	32539106.61
83	32524233.01
84	32497076.15
85	32486797.71
86	32472819.36
87	32460156.06
88	32449218.94
89	32438273.08
90	32422214.18
91	32411252.06
92	32389620.79
93	32382577.29
94	32370800.32
95	32350466.48
96	32343786.59
97	32329582.54
98	32321987.67
99	32311600.63
100	32304289.67
101	32300845.09
102	32293821.87
103	32284205.28
104	32271571.12
105	32258150.52
106	32250238.62
107	32240371.5
108	32216470.88
109	32211223.12
110	32204965.07
111	32188535.2
112	32168778.34
113	32155620.14
114	32139198.24
115	32126348.87
116	32119608.1
117	32113309.81
118	32099875.42
119	32087918.19
120	32078937.27
121	32070979.01
122	32058789.14
123	32043032.64
124	32025509.38
125	32013623.39
126	32001793.24
127	31989795.95
128	31969587.29
129	31961732.44
130	31948347.44
131	31940009.07
132	31930501.53
133	31929925.16
134	31915280.38
135	31903180.64
136	31888222.67
137	31871016.02
138	31861881.32
139	31848793.92
140	31840215.28
141	31834419.22
142	31821904.51
143	31815071.51
144	31790171.35
145	31774208.29
146	31762494.57
147	31749614.36
148	31742504.51
149	31733938.95
150	31719993.21
151	31703266.77
152	31695225.47
153	31687948.21
154	31672941.85
155	31652537.42
156	31652154.07
157	31641891.26
158	31631128.96
159	31619024.07
160	31600380.63
161	31592626.89
162	31588738.24
163	31578069.75
164	31562461.96
165	31556227.63
166	31549760.93
167	31534259.3
168	31527427.97
169	31519224.67
170	31500521.45
171	31492695.04
172	31472773.2
173	31462500.22
174	31446138.08
175	31441211.11
176	31426269.78
177	31407959.22
178	31397570.09
179	31382367.72
180	31377634.54
181	31373258.23
182	31367823.66
183	31360694.52
184	31337950.63
185	31325187.52
186	31318508.3
187	31308409.74
188	31304131.04
189	31299790.19
190	31279031.05
191	31276150.87
192	31269582.18
193	31265550.57
194	31251329.86
195	31241398.17
196	31238184.98
197	31234333.61
198	31226658.05
199	31213558.26
200	31205588.18
201	31194614.93
202	31179507.09
203	31168497.88
204	31155056.03
205	31134708.65
206	31124883.72
207	31111200.82
208	31098395.88
209	31087227.98
210	31080180.45
211	31075457.53
212	31063248.96
213	31047261.35
214	31038402.08
215	31029316.98
216	31021452.58
217	30987352.64
218	30973803.8
219	30960087.71
220	30956932.73
221	30937859.9
222	30926778.68
223	30912005.71
224	30896844.8
225	30882378.17
226	30881457.92
227	30868834.03
228	30860680.84
229	30850239.93
230	30840927.39
231	30837034.37
232	30813777.47
233	30807453.01
234	30795081.75
235	30781426.85
236	30758669.4
237	30753290.72
238	30746690.35
239	30732082.91
240	30712380.33
241	30696777.72
242	30689029.02
243	30665207.75
244	30654060.41
245	30645221.03
246	30638995.55
247	30626038.42
248	30617527.42
249	30602106.86
250	30592019.76
251	30580071.81
252	30550763.13
253	30546461.5
254	30535120.33
255	30527726.99
256	30521705.67
257	30509953.03
258	30502973.94
259	30491964.94
260	30484790.84
261	30468528.6
262	30459282.66
263	30454038.87
264	30444791.11
265	30430307.52
266	30420000.23
267	30411400.14
268	30401958.6
269	30396918.97
270	30376412.87
271	30360488.62
272	30351440.36
273	30338307.56
274	30321254.04
275	30310773.23
276	30302441.95
277	30298148.11
278	30291538.73
279	30280247.57
280	30274503.66
281	30262559.56
282	30250255.1
283	30238865.63
284	30225162.44
285	30208357.22
286	30188397.92
287	30175212.72
288	30155798.3
289	30143991.89
290	30134655.44
291	30123662.69
292	30119292.82
293	30106799.37
294	30103834.31
295	30096995.95
296	30082221.52
297	30072304.62
298	30055636.06
299	30051765.31
300	30027767.97
301	30015827.89
302	30004370.28
303	29993314.98
304	29981857.54
305	29964725.42
306	29951464.36
307	29935096.19
308	29931873.97
309	29920817.43
310	29910625.48
311	29897914.51
312	29885713.38
313	29870708.93
314	29856713.83
315	29839877.67
316	29829867.62
317	29815137.42
318	29801705.88
319	29797520.92
320	29783470.35
321	29772275.98
322	29763495.2
323	29755061.3
324	29744332.77
325	29737215.98
326	29728975.99
327	29716152.91
328	29708264.65
329	29699580.76
330	29690261.29
331	29674078.52
332	29653881.72
333	29643878.37
334	29638106.56
335	29627710.72
336	29610254.13
337	29599132.5
338	29581185.05
339	29569637.7
340	29559269.72
341	29543605.45
342	29535710.32
343	29522491.39
344	29517371.79
345	29505700.18
346	29495765.78
347	29483099.97
348	29473891.16
349	29469818.77
350	29461628.13
351	29442965.44
352	29437076.83
353	29427482.87
354	29421698.82
355	29415601.03
356	29400755.57
357	29385864.99
358	29372800.4
359	29367594.14
360	29353896.65
361	29346569.44
362	29336968.86
363	29334181.16
364	29312623.43
365	29297940.66
366	29292178.24
367	29287084.41
368	29274335.91
369	29267064.43
370	29259958.44
371	29232530.72
372	29222948.66
373	29216924.46
374	29205326.61
375	29197758.77
376	29192360.2
377	29184885.69
378	29167692.57
379	29155962.1
380	29146144.51
381	29139322.8
382	29122945.68
383	29109299.9
384	29105945.56
385	29103601.1
386	29095176.69
387	29085114.81
388	29077381.33
389	29065414.08
390	29055623.98
391	29042284.46
392	29034824.87
393	29018916.61
394	29014163.67
395	29009052.25
396	28993412.3
397	28986497.27
398	28975797.25
399	28965852.5
400	28950073.08
401	28934067.3
402	28917829.63
403	28904035.24
404	28894552.02
405	28884812.7
406	28881734.86
407	28865086.73
408	28852622.22
409	28833395.76
410	28830230.01
411	28822351.99
412	28805088.99
413	28792963.89
414	28785555.41
415	28772337.83
416	28764916.96
417	28756325.61
418	28751474
419	28744599.65
420	28727117.01
421	28722313.8
422	28711304.91
423	28693421.05
424	28678181.19
425	28666997.03
426	28653817.66
427	28640420.88
428	28628846.1
429	28618265.67
430	28614589.28
431	28605653.22
432	28603694.43
433	28587328.96
434	28582068.21
435	28575318.94
436	28564694.25
437	28549214.55
438	28532937.77
439	28517964.27
440	28506923.51
441	28503792.23
442	28499117.25
443	28487563.69
444	28479272.74
445	28472930.08
446	28468204.96
447	28453776.04
448	28449254.5
449	28441488.97
450	28434162.03
451	28421907.62
452	28410081.41
453	28401531.83
454	28384101.91
455	28378258.72
456	28370104.29
457	28364888.22
458	28344554.84
459	28339207.74
460	28327536.4
461	28314431.4
462	28308073.44
463	28304241.8
464	28289417.69
465	28283147.04
466	28272208.52
467	28256714.32
468	28246003.39
469	28234495.81
470	28224082.02
471	28213650.62
472	28203856.27
473	28194649.3
474	28191328.09
475	28183922.02
476	28169117.93
477	28151900.34
478	28142410.99
479	28132431.42
480	28122246.78
481	28113176.6
482	28108318.13
483	28104879.59
484	28097049.66
485	28090562.22
486	28088921.5
487	28080112
488	28075180.97
489	28070022.99
490	28063160.66
491	28039329.21
492	28025655.03
493	28013048.85
494	27994901.75
495	27983734.64
496	27972364.16
497	27958887.43
498	27953563.46
499	27950558.05
500	27945506.44
501	27939179.67
502	27926866.9
503	27916158.8
504	27908847.3
505	27889335.3
506	27883719.23
507	27866320.01
508	27856891.34
509	27841207.53
510	27832010.24
511	27825842.96
512	27819661.58
513	27814587.32
514	27805892.29
515	27799657.59
516	27794045.65
517	27788235.18
518	27781323.88
519	27770783.43
520	27766111.01
521	27761567.25
522	27754044.26
523	27749580.96
524	27744610.96
525	27739927.97
526	27737175.64
527	27727443.26
528	27717295.03
529	27708431.47
530	27703159.01
531	27700925.92
532	27700070.07
533	27695780.98
534	27688064.86
535	27679509.04
536	27674822.96
537	27663494.62
538	27655096.95
539	27648471.58
540	27645651.84
541	27642868.11
542	27632443.96
543	27628920.99
544	27617381.66
545	27610187.56
546	27593253.54
547	27581177.77
548	27572464.19
549	27560258.16
550	27549095.13
551	27537408.6
552	27527139.1
553	27516987.43
554	27500938.44
555	27492133.08
556	27485189.22
557	27481312.06
558	27473254.68
559	27464452.46
560	27450917.72
561	27432970.84
562	27429041.62
563	27412119.74
564	27407556.45
565	27399205.29
566	27387983.33
567	27382720.69
568	27370641.39
569	27363457.76
570	27357764.77
571	27345128.73
572	27339231.43
573	27333719.46
574	27324860.75
575	27322787.15
576	27315423.96
577	27311751.78
578	27299233.07
579	27292734.81
580	27283078.3
581	27277202.39
582	27271747.65
583	27267232.77
584	27258010.65
585	27252452.71
586	27244572.57
587	27235536.68
588	27224927.52
589	27224678.37
590	27219335.72
591	27213589.73
592	27206510.23
593	27185970.92
594	27174394.56
595	27160199.15
596	27155501.33
597	27151195.19
598	27148307.29
