iter	Passed	Remaining
0	29	29361
1	58	28988
2	89	29615
3	121	30331
4	149	29835
5	178	29608
6	206	29257
7	233	28911
8	260	28643
9	289	28687
10	316	28489
11	343	28317
12	372	28263
13	401	28259
14	428	28115
15	461	28378
16	492	28461
17	521	28430
18	552	28551
19	585	28692
20	613	28611
21	642	28572
22	671	28524
23	703	28595
24	734	28634
25	762	28568
26	791	28534
27	819	28437
28	844	28266
29	871	28185
30	899	28127
31	927	28045
32	954	27983
33	981	27891
34	1010	27869
35	1038	27810
36	1064	27704
37	1089	27592
38	1117	27534
39	1144	27467
40	1171	27400
41	1199	27366
42	1225	27279
43	1254	27254
44	1276	27093
45	1302	27013
46	1329	26953
47	1356	26902
48	1381	26819
49	1406	26719
50	1429	26594
51	1456	26553
52	1484	26521
53	1502	26319
54	1529	26282
55	1570	26470
56	1615	26724
57	1643	26689
58	1673	26684
59	1700	26647
60	1728	26610
61	1754	26541
62	1778	26458
63	1806	26413
64	1832	26359
65	1857	26287
66	1882	26219
67	1912	26209
68	1939	26171
69	1965	26115
70	1995	26107
71	2025	26106
72	2053	26073
73	2080	26037
74	2111	26041
75	2140	26026
76	2169	26010
77	2199	26002
78	2209	25755
79	2233	25689
80	2263	25680
81	2290	25646
82	2321	25645
83	2347	25599
84	2375	25573
85	2406	25570
86	2435	25555
87	2463	25535
88	2491	25506
89	2519	25472
90	2546	25436
91	2574	25409
92	2604	25398
93	2634	25395
94	2662	25361
95	2694	25373
96	2722	25348
97	2752	25338
98	2782	25326
99	2811	25299
100	2842	25299
101	2870	25273
102	2897	25233
103	2925	25205
104	2953	25177
105	2981	25146
106	3009	25114
107	3038	25091
108	3066	25067
109	3097	25063
110	3130	25069
111	3159	25047
112	3185	25007
113	3196	24843
114	3223	24809
115	3254	24804
116	3285	24799
117	3315	24782
118	3344	24762
119	3373	24738
120	3402	24715
121	3431	24692
122	3460	24672
123	3489	24649
124	3518	24630
125	3546	24603
126	3576	24585
127	3606	24569
128	3637	24562
129	3666	24538
130	3696	24519
131	3724	24489
132	3752	24460
133	3778	24418
134	3807	24397
135	3838	24388
136	3867	24363
137	3899	24356
138	3928	24331
139	3958	24314
140	3994	24337
141	4025	24323
142	4054	24299
143	4085	24288
144	4114	24262
145	4144	24242
146	4172	24213
147	4201	24189
148	4230	24159
149	4258	24132
150	4289	24117
151	4317	24084
152	4345	24057
153	4374	24034
154	4403	24004
155	4431	23973
156	4455	23925
157	4480	23879
158	4507	23843
159	4533	23800
160	4559	23759
161	4584	23716
162	4613	23687
163	4643	23669
164	4673	23648
165	4702	23627
166	4731	23599
167	4759	23570
168	4786	23534
169	4814	23506
170	4844	23486
171	4873	23462
172	4884	23348
173	4912	23319
174	4940	23292
175	4967	23258
176	4994	23225
177	5022	23192
178	5048	23154
179	5073	23110
180	5098	23070
181	5127	23043
182	5157	23023
183	5185	22998
184	5215	22975
185	5243	22945
186	5270	22913
187	5298	22884
188	5326	22857
189	5354	22828
190	5385	22809
191	5413	22783
192	5444	22763
193	5473	22738
194	5501	22712
195	5530	22688
196	5558	22656
197	5587	22632
198	5616	22608
199	5646	22585
200	5674	22557
201	5704	22534
202	5733	22509
203	5761	22481
204	5789	22450
205	5819	22432
206	5849	22409
207	5877	22378
208	5909	22365
209	5939	22343
210	5967	22316
211	5995	22285
212	6024	22259
213	6052	22231
214	6082	22207
215	6110	22177
216	6137	22147
217	6166	22120
218	6195	22094
219	6224	22069
220	6254	22044
221	6282	22017
222	6311	21990
223	6337	21954
224	6363	21917
225	6401	21925
226	6432	21904
227	6460	21876
228	6489	21847
229	6518	21821
230	6546	21794
231	6574	21763
232	6601	21730
233	6631	21709
234	6642	21622
235	6672	21600
236	6702	21579
237	6730	21549
238	6759	21521
239	6788	21496
240	6817	21469
241	6845	21441
242	6871	21406
243	6899	21377
244	6928	21350
245	6957	21324
246	6985	21295
247	6995	21213
248	7023	21182
249	7052	21156
250	7082	21134
251	7110	21106
252	7141	21086
253	7172	21064
254	7201	21039
255	7228	21008
256	7243	20940
257	7270	20909
258	7298	20879
259	7328	20857
260	7355	20827
261	7382	20796
262	7410	20765
263	7438	20736
264	7465	20707
265	7493	20678
266	7523	20654
267	7553	20630
268	7579	20597
