iter	Passed	Remaining
0	37	37377
1	61	30618
2	105	35225
3	147	36823
4	182	36257
5	222	36882
6	267	37963
7	310	38473
8	352	38833
9	390	38656
10	422	37947
11	451	37212
12	480	36513
13	517	36464
14	559	36735
15	600	36913
16	644	37282
17	679	37056
18	723	37347
19	765	37493
20	797	37190
21	828	36830
22	858	36465
23	889	36168
24	928	36194
25	957	35880
26	1002	36131
27	1037	36008
28	1068	35762
29	1096	35445
30	1114	34843
31	1140	34514
32	1169	34282
33	1199	34083
34	1230	33934
35	1270	34026
36	1317	34290
37	1357	34357
38	1385	34127
39	1416	33997
40	1446	33835
41	1475	33649
42	1504	33494
43	1533	33313
44	1561	33148
45	1591	33013
46	1619	32842
47	1657	32875
48	1670	32413
49	1703	32374
50	1747	32508
51	1768	32240
52	1792	32030
53	1816	31820
54	1843	31676
55	1868	31493
56	1894	31345
57	1920	31187
58	1944	31010
59	1971	30880
60	1996	30732
61	2022	30601
62	2048	30471
63	2074	30333
64	2098	30188
65	2125	30080
66	2149	29935
67	2175	29819
68	2200	29694
69	2227	29598
70	2253	29485
71	2277	29354
72	2290	29088
73	2298	28765
74	2320	28615
75	2345	28511
76	2370	28420
77	2396	28325
78	2422	28240
79	2446	28140
80	2473	28066
81	2500	27988
82	2527	27921
83	2554	27858
84	2578	27760
85	2603	27671
86	2629	27595
87	2656	27535
88	2681	27443
89	2701	27312
90	2725	27224
91	2744	27090
92	2770	27020
93	2796	26956
94	2824	26903
95	2854	26883
96	2888	26887
97	2927	26942
98	2969	27025
99	3017	27157
100	3052	27166
101	3089	27195
102	3097	26972
103	3127	26944
104	3157	26910
105	3187	26879
106	3220	26873
107	3250	26842
108	3260	26653
109	3273	26488
110	3307	26486
111	3353	26589
112	3398	26674
113	3433	26684
114	3443	26503
115	3474	26479
116	3522	26584
117	3583	26783
118	3648	27012
119	3692	27080
120	3726	27072
121	3754	27022
122	3785	26987
123	3813	26940
124	3841	26888
125	3872	26858
126	3900	26813
127	3931	26781
128	3954	26697
129	3976	26614
130	4004	26561
131	4033	26520
132	4068	26519
133	4082	26386
134	4112	26349
135	4143	26323
136	4173	26290
137	4205	26266
138	4246	26301
139	4276	26268
140	4304	26224
141	4333	26184
142	4341	26021
143	4376	26017
144	4386	25865
145	4414	25823
146	4444	25793
147	4475	25762
148	4514	25784
149	4542	25739
150	4571	25701
151	4601	25672
152	4643	25708
153	4686	25746
154	4722	25746
155	4753	25716
156	4786	25703
157	4815	25660
158	4844	25623
159	4873	25585
160	4902	25547
161	4928	25491
162	4956	25454
163	4971	25344
164	5000	25304
165	5040	25325
166	5071	25298
167	5108	25300
168	5143	25289
169	5183	25307
170	5218	25300
171	5249	25271
172	5278	25233
173	5310	25209
174	5338	25166
175	5367	25127
176	5400	25110
177	5436	25105
178	5469	25085
179	5503	25073
180	5537	25056
181	5589	25119
182	5637	25166
183	5675	25171
184	5725	25222
185	5764	25226
186	5811	25264
187	5847	25255
188	5888	25267
189	5927	25271
190	5951	25208
191	5985	25188
192	6020	25172
193	6051	25141
194	6080	25100
195	6108	25055
196	6140	25028
197	6171	24997
198	6213	25008
199	6250	25000
200	6285	24985
201	6321	24973
202	6358	24962
203	6388	24928
204	6419	24895
205	6454	24878
206	6485	24845
207	6516	24812
208	6546	24778
209	6580	24755
210	6611	24721
211	6647	24710
212	6690	24721
213	6734	24733
214	6749	24644
215	6792	24652
216	6830	24646
217	6870	24644
218	6919	24675
219	6960	24677
220	6997	24663
221	7030	24636
222	7070	24634
223	7105	24615
224	7138	24587
225	7167	24547
226	7200	24520
227	7235	24499
228	7265	24461
229	7295	24424
230	7327	24391
231	7370	24399
232	7419	24422
233	7454	24400
234	7482	24356
235	7511	24318
236	7544	24287
237	7573	24249
238	7616	24252
239	7667	24281
240	7714	24295
241	7764	24321
242	7807	24323
243	7851	24326
244	7882	24291
245	7913	24254
246	7942	24211
247	7970	24169
248	7999	24125
249	8034	24102
250	8072	24088
251	8116	24091
252	8154	24076
253	8185	24039
254	8215	24001
255	8250	23977
256	8290	23967
257	8321	23931
258	8353	23900
259	8391	23883
260	8426	23860
261	8471	23862
262	8516	23865
263	8562	23871
264	8612	23888
265	8656	23886
266	8693	23865
267	8737	23864
268	8786	23876
269	8838	23897
270	8882	23894
271	8919	23872
272	8947	23826
273	8977	23786
274	9005	23741
275	9035	23700
276	9063	23657
277	9093	23615
278	9128	23590
279	9166	23569
280	9199	23537
281	9236	23517
282	9284	23522
283	9324	23508
284	9356	23474
285	9395	23456
286	9439	23451
287	9475	23426
288	9508	23393
289	9547	23374
290	9585	23353
291	9631	23353
292	9669	23332
293	9701	23295
294	9730	23254
295	9758	23209
296	9787	23166
297	9820	23134
298	9861	23120
299	9896	23090
300	9927	23055
301	9965	23033
302	10002	23009
303	10034	22973
304	10063	22930
305	10095	22896
306	10137	22883
307	10176	22864
308	10208	22829
309	10242	22798
310	10282	22781
311	10314	22744
312	10343	22703
313	10376	22669
314	10414	22648
315	10446	22612
316	10476	22571
317	10505	22530
318	10533	22487
319	10563	22447
320	10591	22402
321	10621	22364
322	10649	22321
323	10679	22282
324	10709	22242
325	10745	22217
326	10788	22203
327	10831	22191
328	10876	22183
329	10913	22158
330	10944	22120
331	10986	22104
332	11026	22085
333	11074	22082
334	11120	22075
335	11159	22052
336	11204	22043
337	11239	22013
338	11268	21971
339	11302	21940
340	11338	21911
341	11366	21869
342	11394	21825
343	11424	21786
344	11452	21742
345	11483	21704
346	11521	21681
347	11559	21658
348	11590	21619
349	11619	21579
350	11647	21535
351	11684	21510
352	11729	21498
353	11780	21498
354	11832	21497
355	11867	21468
356	11898	21430
357	11926	21387
358	11955	21346
359	11985	21306
360	12011	21261
361	12039	21218
362	12070	21181
363	12102	21146
364	12131	21105
365	12162	21068
366	12198	21039
367	12228	21000
368	12257	20960
369	12286	20920
370	12315	20880
371	12344	20840
372	12374	20801
373	12407	20768
374	12442	20738
375	12485	20721
376	12522	20693
377	12551	20652
378	12582	20616
379	12613	20579
380	12651	20553
381	12691	20533
382	12735	20516
383	12765	20478
384	12800	20447
385	12832	20412
386	12861	20372
387	12889	20330
388	12919	20292
389	12948	20252
390	12979	20216
391	13019	20194
392	13056	20165
393	13084	20125
394	13116	20090
395	13149	20056
396	13189	20032
397	13230	20011
398	13260	19974
399	13291	19936
400	13320	19897
401	13350	19860
402	13379	19820
403	13408	19780
404	13447	19756
405	13487	19732
406	13525	19706
407	13564	19681
408	13606	19661
409	13651	19644
410	13694	19625
411	13734	19601
412	13764	19563
413	13793	19523
414	13822	19484
415	13851	19445
416	13881	19407
417	13910	19367
418	13938	19328
419	13968	19290
420	13998	19252
421	14026	19212
422	14055	19172
423	14083	19132
424	14112	19093
425	14148	19064
426	14187	19038
427	14217	19001
428	14248	18964
429	14285	18936
430	14327	18914
431	14371	18895
432	14415	18876
433	14454	18851
434	14497	18830
435	14533	18800
436	14564	18763
437	14594	18725
438	14624	18688
439	14655	18652
440	14691	18622
441	14730	18596
442	14766	18566
443	14797	18530
444	14860	18534
445	14900	18508
446	14929	18470
447	14959	18432
448	14987	18392
449	15019	18357
450	15053	18324
451	15080	18283
452	15110	18245
453	15139	18206
454	15168	18168
455	15197	18130
456	15225	18090
457	15254	18051
458	15285	18016
459	15316	17979
460	15349	17946
461	15380	17910
462	15409	17872
463	15443	17840
464	15487	17818
465	15524	17789
466	15555	17753
467	15586	17718
468	15615	17679
469	15646	17643
470	15694	17626
471	15733	17599
472	15764	17563
473	15793	17526
474	15824	17490
475	15854	17453
476	15885	17416
477	15916	17382
478	15945	17344
479	15976	17307
480	16006	17270
481	16035	17233
482	16066	17197
483	16094	17158
484	16122	17119
485	16150	17081
486	16184	17048
487	16217	17015
488	16253	16985
489	16284	16948
490	16314	16912
491	16346	16878
492	16376	16841
493	16406	16805
494	16442	16775
495	16481	16746
496	16510	16709
497	16539	16672
498	16568	16635
499	16597	16597
500	16628	16562
501	16657	16524
502	16685	16486
503	16714	16448
504	16746	16414
505	16777	16380
506	16807	16343
507	16838	16308
508	16872	16275
509	16920	16257
510	16962	16232
511	17005	16208
512	17041	16177
513	17071	16141
514	17099	16103
515	17127	16065
516	17162	16033
517	17203	16008
518	17248	15985
519	17288	15958
520	17320	15924
521	17350	15887
522	17382	15853
523	17412	15817
524	17444	15782
525	17478	15750
526	17508	15714
527	17538	15677
528	17578	15651
529	17611	15617
530	17650	15589
531	17683	15555
532	17726	15531
533	17758	15497
534	17788	15461
535	17827	15432
536	17870	15407
537	17911	15381
538	17958	15359
539	17992	15326
540	18022	15291
541	18060	15261
542	18106	15238
543	18148	15212
544	18179	15177
545	18208	15140
546	18237	15103
547	18266	15066
548	18298	15032
549	18336	15002
550	18366	14966
551	18396	14930
552	18427	14894
553	18454	14857
554	18483	14819
555	18514	14785
556	18542	14747
557	18569	14709
558	18602	14675
559	18632	14639
560	18661	14603
561	18695	14570
562	18734	14541
563	18764	14505
564	18793	14469
565	18822	14433
566	18859	14402
567	18897	14372
568	18946	14351
569	18989	14325
570	19035	14301
571	19075	14273
572	19119	14247
573	19152	14213
574	19181	14177
575	19210	14141
576	19241	14106
577	19269	14069
578	19303	14035
579	19335	14001
580	19364	13965
581	19394	13929
