Anon Period,Orders cons. (anon),month,quarter,year,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,TGL Biz Desc_SSI,TGL Business Unit_SSI027,TGL Business Unit_SSI037,TGL Business Unit_SSI047,TGL Business Unit_SSI070,TGL Business Segment_SSI02710,TGL Business Segment_SSI02780,TGL Business Segment_SSI02782,TGL Business Segment_SSI02784,TGL Business Segment_SSI02786,TGL Business Segment_SSI02792,TGL Business Segment_SSI02793,TGL Business Segment_SSI02796,TGL Business Segment_SSI02798,TGL Business Segment_SSI02799,TGL Business Segment_SSI03781,TGL Business Segment_SSI03782,TGL Business Segment_SSI03784,TGL Business Segment_SSI03798,TGL Business Segment_SSI03799,TGL Business Segment_SSI04781,TGL Business Segment_SSI04783,TGL Business Segment_SSI04784,TGL Business Segment_SSI04799,TGL Business Segment_SSI07081,TGL Business Segment_SSI07082,TGL Business Segment_SSI07083,TGL Business Segment_SSI07098,TGL Business Segment_SSI07099
1,0,4,2,2021,,,,,,,,,,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,4,2,2021,-390277.0,,,,,,,,,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,0,5,2,2021,0.0,-390277.0,,,,,,,,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,0,5,2,2021,334.0,0.0,-390277.0,,,-129981.0,225423.01036274002,,,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,0,6,2,2021,0.0,334.0,0.0,,,111.33333333333333,192.834989909335,,,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,0,6,2,2021,334.0,0.0,334.0,,,222.66666666666666,192.834989909335,,,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,0,7,3,2021,0.0,334.0,0.0,-390277.0,,111.33333333333333,192.834989909335,-64934.833333333336,159384.54401906938,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,0,7,3,2021,1811758.0,0.0,334.0,0.0,,604030.6666666666,1045922.5648437524,302071.0,739592.5823627493,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,0,8,3,2021,0.0,1811758.0,0.0,334.0,,603919.3333333334,1046018.9690064581,302071.0,739592.5823627493,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,0,8,3,2021,80112.0,0.0,1811758.0,0.0,,630623.3333333334,1023676.6133586004,315367.3333333333,733777.3184095204,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,0,9,3,2021,0.0,80112.0,0.0,334.0,,26704.0,46252.684765320584,315367.3333333333,733777.3184095204,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,0,9,3,2021,38468.0,0.0,80112.0,0.0,,39526.666666666664,40066.49120316696,321723.0,730661.4315478818,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,0,10,4,2021,0.0,38468.0,0.0,1811758.0,-390277.0,12822.666666666666,22209.51015518913,321723.0,730661.4315478818,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,0,10,4,2021,334.0,0.0,38468.0,0.0,0.0,12934.0,22113.723250509305,19819.0,33289.8619943069,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,0,11,4,2021,0.0,334.0,0.0,80112.0,334.0,111.33333333333333,192.83499020217099,19819.0,33289.8619943069,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,0,12,4,2021,334.0,0.0,334.0,0.0,0.0,222.66666666666666,192.83499020223712,6522.666666666667,15650.808626606566,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,0,12,4,2021,-37173.0,334.0,0.0,38468.0,334.0,-12279.666666666666,21558.905870508443,327.1666666666667,23921.537729975913,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
